ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
81,0.0019073777366429567,0.001892118714749813,0.00012207218,9.155413e-05,0.21808194,0.09285115,0.0021858067647274547,0.002089793373570445,0.0019989319,0.0019684138,0.0015411612,0.0015411612,1.8903648857917152e-05,2.595886869173532e-05,0.0009235621,0.00054641854,5289984,3852248,11562.883,8050.4023,0.002166781108826399,0.0020904859993606806
82,0.001892118714749813,0.001892118714749813,0.00010681315,9.155413e-05,0.17822538,0.0936141,0.0021147471364043823,0.002055472425603587,0.0019836728,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.3905150101632745e-05,0.0008701597,0.00047174326,5289984,4183199,11186.979,8598.45,0.0021057450212538242,0.002075226977467537
83,0.001892118714749813,0.0018768596928566694,9.155413e-05,9.155413e-05,0.22322424,0.16113527,0.002104663959640521,0.0020392404142699537,0.0019836728,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.351832218408073e-05,0.00096717983,0.0005259634,5289984,4252004,11133.639,8670.858,0.0020904859993606806,0.0020599679555743933
84,0.001892118714749813,0.001892118714749813,9.155413e-05,9.155413e-05,0.21039139,0.14267185,0.002094217847587063,0.002029372253117168,0.0019836728,0.0019684138,0.0015411612,0.0015411612,1.8903648857917152e-05,2.299729229880474e-05,0.0010513602,0.00047711658,5289984,4348338,11078.379,8824.396,0.0020904859993606806,0.0020599679555743933
85,0.0019226367585361004,0.001892118714749813,0.00012207218,0.00010681315,0.12864882,0.09439231,0.002185093262746636,0.002086623394874537,0.002014191,0.0019989319,0.0015106432,0.0015106432,1.8903648857917152e-05,2.8119088840292856e-05,0.0010555341,0.0004049042,5289984,3556303,11559.108,7420.665,0.002197299152612686,0.0021362630650401115
86,0.0019073777366429567,0.001892118714749813,0.00010681315,9.155413e-05,0.23476005,0.10112154,0.002130909202360064,0.002053304953246074,0.0019836728,0.0019684138,0.0015411612,0.0015411612,1.8903648857917152e-05,2.5469089693983794e-05,0.0012378116,0.00045845853,5289984,3926328,11272.476,8061.9487,0.002121004043146968,0.002075226977467537
87,0.001892118714749813,0.0018768596928566694,9.155413e-05,9.155413e-05,0.18280308,0.05804532,0.0020775139631802287,0.0020060530850338366,0.0019684138,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.226372179965678e-05,0.00092164107,0.0002771837,5289984,4491612,10990.016,9010.412,0.0020904859993606806,0.0020599679555743933
88,0.0018768596928566694,0.0018768596928566694,9.155413e-05,7.629511e-05,0.12568857,0.0708629,0.0020357950500771837,0.001983657586772194,0.0019684138,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.213336414297622e-05,0.0006837877,0.00023898503,5289984,4518066,10769.323,8962.296,0.0020599679555743933,0.0020447089336812496
89,0.001892118714749813,0.001892118714749813,0.00010681315,9.155413e-05,0.1309224,0.110963605,0.0021504045132745204,0.0020549738201793024,0.0019836728,0.0019684138,0.0014953841,0.0014953841,1.8903648857917152e-05,2.458689710162281e-05,0.0011181358,0.00049369014,5289984,4067207,11375.605,8358.004,0.0021362630650401115,0.002075226977467537
90,0.0019226367585361004,0.0019073777366429567,0.00012207218,0.00010681315,0.10035859,0.08986038,0.0021958461898821434,0.0021083049666929567,0.002014191,0.0019989319,0.0015411612,0.0015411612,1.8903648857917152e-05,2.6591388219376825e-05,0.0010263788,0.0005287522,5289984,3760616,11615.991,7928.5254,0.0021820401307195425,0.0021362630650401115
91,0.0019226367585361004,0.0019073777366429567,0.00015259022,0.00012207218,0.12907606,0.12907606,0.0023833624484970086,0.00215730140804713,0.002044709,0.0019989319,0.0015411612,0.0015411612,1.8903648857917152e-05,3.582281605306362e-05,0.0017341584,0.0008693181,5289984,2791517,12607.949,6022.1436,0.0022735942620784044,0.002151522086933255
